item;word;place;exp;freq_count;freq_standardized;freq_percentage
30;şoför;n1;up;119382;-0.487265729;0.003523236
31;mühendis;n1;up;480168;-0.205354988;0.014170857
32;pazarcı;n1;up;22826;-0.562712596;0.000673648
33;oyuncu;n1;up;1422509;0.530970838;0.041981498
33;oyun;n1;up;6131534;4.210505869;0.180955607
34;manken;n1;up;53317;-0.538887557;0.001573507
35;konuk;n1;up;308328;-0.33962722;0.009099465
36;oğlu;n1;up;664252;-0.061515546;0.019603597
37;avukat;n1;up;383751;-0.280693243;0.011325371
38;ünlü;n1;up;1833107;0.851803648;0.054099185
39;çiftçi;n1;up;270481;-0.369200086;0.007982514
40;kadın;n1;up;3337745;2.027496754;0.098504497
1;aşçı;n2;up;140669;-0.470632506;0.004151464
2;abla;n2;up;192845;-0.429863255;0.005691297
3;abi;n2;up;404232;-0.264689812;0.011929812
4;emlakçı;n2;up;14692;-0.569068336;0.000433595
5;hala;n2;up;91691;-0.508902905;0.002706011
6;dayı;n2;up;81546;-0.516829999;0.002406609
7;çiçekçi;n2;up;12823;-0.570528734;0.000378436
8;enişte;n2;up;19408;-0.565383351;0.000572775
9;hizmetçi;n2;up;31878;-0.55563955;0.000940793
10;sunucu;n2;up;210421;-0.416129731;0.006210005
11;eczacı;n2;up;116995;-0.489130881;0.00345279
12;hoca;n2;up;942396;0.15582044;0.027812264
13;çaycı;n2;up;7339;-0.574813818;0.000216591
13;çay;n2;up;845066;0.079768785;0.024939833
14;hemşire;n2;up;112094;-0.492960421;0.003308151
15;müdire;n2;up;5095;-0.576567234;0.000150365
16;terzi;n2;up;41044;-0.548477426;0.001211302
17;bakıcı;n2;up;36686;-0.551882678;0.001082688
18;dadı;n2;up;7574;-0.574630194;0.000223526
19;sürücü;n2;up;269731;-0.36978612;0.007960379
20;taksici;n2;up;22279;-0.56314001;0.000657504
21;çalgıcı;n2;up;4384;-0.577122794;0.000129382
22;dişçi;n2;up;8235;-0.574113702;0.000243034
22;diş;n2;up;411583;-0.258945893;0.012146757
23;müşteri;n2;up;825287;0.064313882;0.024356109
24;koruma;n2;up;878225;0.105678544;0.025918431
25;izleyici;n2;up;196669;-0.42687526;0.005804152
26;hasta;n2;up;3928332;2.488969258;0.115934072
27;anne;n2;up;1688017;0.738433314;0.049817247
28;işçi;n2;up;1287782;0.425697938;0.038005395
29;yardımcı;n2;up;849032;0.082867735;0.025056878
30;yolcu;n2;up;285416;-0.357530185;0.00842328
31;kapıcı;n2;up;5884;-0.575950725;0.00017365
32;nakliyeci;n2;up;9296;-0.573284659;0.000274346
33;eğitimci;n2;up;81865;-0.516580739;0.002416024
34;modacı;n2;up;16077;-0.567986125;0.000474469
35;teyze;n2;up;88508;-0.511390035;0.002612074
36;amca;n2;up;172032;-0.446126104;0.005077058
37;komşu;n2;up;320984;-0.329738083;0.009472973
38;falcı;n2;up;9377;-0.573221367;0.000276737
39;bekçi;n2;up;53281;-0.538915687;0.001572444
40;nine;n2;up;33021;-0.554746433;0.000974525
